title,year,audio_languages,audio_quality,subtitle_languages,encoding,imdb_link,imdb_id
Whale Rider,2002,,,,,https://www.imdb.com/title/tt0298228/,298228
8½,1963,,,,,https://www.imdb.com/title/tt0056801/,56801
"Right Stuff, The",1983,,,,,https://www.imdb.com/title/tt0086197/,86197
"Strada, La",1954,,,,,https://www.imdb.com/title/tt0047528/,47528
Rain Man,1988,,,,,https://www.imdb.com/title/tt0095953/,95953
Laura,1944,,,,,https://www.imdb.com/title/tt0037008/,37008
Adaptation.,2002,,,,,https://www.imdb.com/title/tt0268126/,268126
"39 Steps, The",1935,,,,,https://www.imdb.com/title/tt0026029/,26029
King Kong,1933,,,,,https://www.imdb.com/title/tt0024216/,24216
Bonnie and Clyde,1967,,,,,https://www.imdb.com/title/tt0061418/,61418
Midnight Cowboy,1969,,,,,https://www.imdb.com/title/tt0064665/,64665
Stagecoach,1939,,,,,https://www.imdb.com/title/tt0031971/,31971
X2: X-Men United,2003,,,,,https://www.imdb.com/title/tt0290334/,290334
In the Heat of the Night,1967,,,,,https://www.imdb.com/title/tt0061811/,61811
Sunrise,1927,,,,,https://www.imdb.com/title/tt0018455/,18455
"Thin Man, The",1934,,,,,https://www.imdb.com/title/tt0025878/,25878
Rio Bravo,1959,,,,,https://www.imdb.com/title/tt0053221/,53221
"Others, The",2001,,,,,https://www.imdb.com/title/tt0230600/,230600
Planet of the Apes,1968,,,,,https://www.imdb.com/title/tt0063442/,63442
"Bride of Frankenstein, The",1935,,,,,https://www.imdb.com/title/tt0026138/,26138
"Killer, The",1989,,,,,https://www.imdb.com/title/tt0097202/,97202
Kind Hearts and Coronets,1949,,,,,https://www.imdb.com/title/tt0041546/,41546
Beauty and the Beast,1991,,,,,https://www.imdb.com/title/tt0101414/,101414
Red River,1948,,,,,https://www.imdb.com/title/tt0040724/,40724
Traffic,2000,,,,,https://www.imdb.com/title/tt0181865/,181865
Children of Paradise,1945,,,,,https://www.imdb.com/title/tt0037674/,37674
Sleuth,1972,,,,,https://www.imdb.com/title/tt0069281/,69281
Minority Report,2002,,,,,https://www.imdb.com/title/tt0181689/,181689
Being There,1979,,,,,https://www.imdb.com/title/tt0078841/,78841
All About My Mother,1999,,,,,https://www.imdb.com/title/tt0185125/,185125
Sullivan's Travels,1941,,,,,https://www.imdb.com/title/tt0034240/,34240
Fantasia,1940,,,,,https://www.imdb.com/title/tt0032455/,32455
